# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.824066425128e-01       1.029030568469e+03 
       2.856150965174e-01       1.002927756236e+03 
       2.888235514220e-01       9.785386209653e+02 
       2.920320071967e-01       9.559720786441e+02 
       2.952404638131e-01       9.352220189910e+02 
       2.984489212438e-01       9.161621213998e+02 
       3.016573794628e-01       8.985659821506e+02 
       3.048658384450e-01       8.821891098234e+02 
       3.080742981665e-01       8.667532289377e+02 
       3.112827586042e-01       8.519751224804e+02 
       3.144912197361e-01       8.375860275133e+02 
       3.176996815412e-01       8.233506569447e+02 
       3.209081439991e-01       8.090444599331e+02 
       3.241166070903e-01       7.945328755233e+02 
       3.273250707961e-01       7.797689760893e+02 
       3.305335350985e-01       7.647530690818e+02 
       3.337419999803e-01       7.496140119687e+02 
       3.369504654248e-01       7.344780430613e+02 
       3.401589314160e-01       7.194169238700e+02 
       3.433673979385e-01       7.046362430427e+02 
       3.465758649775e-01       6.902415050818e+02 
       3.497843325188e-01       6.763394859292e+02 
       3.529928005485e-01       6.630150272154e+02 
       3.562012690534e-01       6.503251875636e+02 
       3.594097380207e-01       6.383005903533e+02 
       3.626182074381e-01       6.269414192787e+02 
       3.658266772937e-01       6.161810191990e+02 
       3.690351475760e-01       6.059414483300e+02 
       3.722436182740e-01       5.961350711426e+02 
       3.754520893768e-01       5.866583752898e+02 
       3.786605608743e-01       5.774150233620e+02 
       3.818690327564e-01       5.682981151069e+02 
       3.850775050135e-01       5.592971284979e+02 
       3.882859776361e-01       5.503576716393e+02 
       3.914944506154e-01       5.414582708065e+02 
       3.947029239426e-01       5.325893746753e+02 
       3.979113976091e-01       5.237565598076e+02 
       4.011198716069e-01       5.149775654611e+02 
       4.043283459280e-01       5.062861546206e+02 
       4.075368205648e-01       4.977220923545e+02 
       4.107452955098e-01       4.893327183856e+02 
       4.139537707559e-01       4.811553214574e+02 
       4.171622462960e-01       4.732156226347e+02 
       4.203707221234e-01       4.655267520329e+02 
       4.235791982315e-01       4.580929442508e+02 
       4.267876746141e-01       4.509068915489e+02 
       4.299961512649e-01       4.439605231195e+02 
       4.332046281779e-01       4.372440162572e+02 
       4.364131053474e-01       4.307354996698e+02 
       4.396215827677e-01       4.244232655335e+02 
       4.428300604334e-01       4.182770256018e+02 
       4.460385383390e-01       4.122703127399e+02 
       4.492470164795e-01       4.063737898290e+02 
       4.524554948499e-01       4.005624583759e+02 
       4.556639734453e-01       3.948208845623e+02 
       4.588724522608e-01       3.891421594629e+02 
